draft,type,num,date,day,slides,readings,assignments,need quiz,,only lecture,notes
,,1,28-Jan ,Tue,"Introductions, Welcome

* [Introductions](slides/01/intro.html)
* [About Programming](slides/01/about-programming.html)
* [Hardware](slides/01/computers-storage.html)
* [Programming Languages](slides/01/programming-languages.html)
* [Tools](slides/01/tools.html) 
* [Reading and Writing Programs](slides/01/reading-writing-programs.html)
* [Programming Work Flow](slides/01/programming-workflow.html)

<!--
* [Installing Tools](slides/01/installing-tools.html)
-->
","* [Ch 1. A Python Q&A Session](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch01.html#a_python_qaa_session)
* [Ch 3. How You Run Programs](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch03.html#how_you_run_programs)
  * The Interactive Prompt","__Due Thu, Jan 30th, at 11:00am__



* [Module 01 on Types, Operators, and Variables](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module01.php)
* Quiz 01-A and Quiz 01-B in NYU Classes (under Tests and Quizzes)","* Type Annotations
* Using PyCharm
* Turtle
* Project and File Locations",* PyCharm,"
* advanced formatting (pad char, comma, sign)
* print vs concatenation","* large gap in background/skillset
* continually encourage to move to 101 or drop to 0002
* maybe quiz appropriate
* best to wait for ds students? "
,lecture,2,30-Jan ,Thu,"Types, Operators, Variables

* PyCharm \*
  * Tools → Python Console
  * warnings / errors
* [Hello](slides/01/hello.html) 
  * (see errors slides below)
* [Values and Types](slides/01/values-and-types.html)
  * Type Annotations \*
  * no “smart quotes” as str delimiter \*
* [Operations and Variables](slides/01/operations-and-variables.html)
  * operators (\*\*,  /, //) \*
* [User Input](slides/01/user-input.html) \*
* [Errors](slides/02/debugging.html) \*
* [Design, Input, Processing, and Output](slides/02/design-input-output.html)
* [Formatting Output (Print and Format)](slides/02/formatting.html) \*
  * fstrings
  * padding char, align, etc.
* [Idioms and Style](slides/02/idioms-style.html)
* [Variables Continued](slides/02/variables.html) \*
* Turtle
* Workshop Attendance \*
","* [Module #1: Python Basics](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module01.php)
* [Ch 5. Numeric Types](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch05.html)
  * Numeric Type Basics
  * Numbers in Action
* [Ch 11. Assignments, Expressions, and Prints](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch11.html#assignments_comma_expressions_comma_and)
  * Assignment Statements – Assignment Statement Forms
  * Print Operations – The Python 3.0 print Function ","__Due Thu, Feb 6th, at 11:00am__



* [Module 02 on Booleans, Conditionals, and While Loops](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module02.php)
* Quiz 02-A and Quiz 02-B in NYU Classes (under Tests and Quizzes)","* fstrings
* % operator",,* fstrings,"* is using pycharm worth type annotations?
* need to be more consistent with type annotations"
,workshop,3,04-Feb ,Tue,"Types, Operators, Variables

* Multiple Assignment

Drawing

* [Turtle Basics](slides/turtle/turtle.html)",Workshop,"Homework 1 __Due Monday, 2/10, at 11pm__

* [stadium_seating.py](assignments/hw01/stadium_seating.py)
* [multiply.py](assignments/hw01/multiply.py)
* [change_puhleese.py](assignments/hw01/change_puhleese.py)
* [your_face.py](assignments/hw01/your_face.py) 
",,,,"* reiterate homework policy
* annotate if used online resource"
,lecture,4,06-Feb ,Thu,"Boolean Logic, If and While, Modules

* [Conditionals](slides/02/review-conditionals.html)
* [Boolean Logic](slides/02/boolean-logic.html)
* [Types, Operators, Precedence](slides/02/types-operators-precedence.html)
* [If Statements - Advanced](slides/02/if-statements-advanced.html)
* [Built-In Modules](slides/02/modules.html)
* [String Formatting with %](slides/02/string-formatting.html)
* [While Loops](slides/03/while.html)

","* [Module #2: Booleans, Conditionals, and While Loops](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module02.php)
* [Ch 12. if Tests and Syntax Rules](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch12.html#if_tests_and_syntax_rules)
* [Ch 13. while and for Loops](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch13.html#while_and_for_loops)
  * while Loops
  * break, continue, pass, and the Loop else","__Due Thu, Feb 13th, at 11:00am__



* [Module 03 on For Loops and Debugging](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module03.php)
* Quiz 03 in NYU Classes (under Tests and Quizzes)",,,,"* while loops AND if statements together may have been much
* but definitely starts separating the class
* again, wait until ds students?"
,workshop,5,11-Feb ,Tue,"Boolean Logic, If and While, Modules",Workshop,"Homework 2 __Due Monday, 2/17, at 11pm__


* [adventure.py](assignments/hw02/adventure.py)
* [odds_and_evens.py](assignments/hw02/odds_and_evens.py)
* [tip.py](assignments/hw02/tip.py)
* [average_word.py](assignments/hw02/average_word.py)",,,,
,lecture,6,13-Feb ,Thu,"Debugging, For Loops, Nested Loops

* [Errors and Debugging](slides/02/debugging.html)
* [For Loops](slides/03/for.html)
* [While vs For](slides/03/vs.html)
* [Loop Exercises](slides/03/loop-exercises.html) 
* [Nested Loops](slides/03/nested.html)
","* [Module #3: Debugger, for Loops](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module03.php)
* [Ch 13. while and for Loops](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch13.html#while_and_for_loops)
  * for Loops
  * Loop Coding Techniques","__Due Thursday, Feb 20th, at 11:00am__


* [Module 04 on Functions, Scope, and Modules](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module04.php)
* Quiz 04 in NYU Classes (under Tests and Quizzes)","* debugger concepts 
* breakpoint
* step over",,,"* most students were actually ok
* ...but the ones that were very far off!
* pycharm debugger is better than idle; need to get better at figuring out modes / switching from running one file to another"
,workshop,7,18-Feb ,Tue,"Debugging, For Loops, Nested Loops

* see nested loops above
* [Turtle review](slides/turtle/turtle-more.html)
  * bgcolor, color, size, square",Workshop,"Homework 3 __Due Monday, 2/24, at 11pm__


* [forwards_backwards.py](assignments/hw03/forwards_backwards.py)
* [many_words.py](assignments/hw03/many_words.py)
* [Starry starry night instructions](assignments/hw03/starry_starry_night.html)
  * [starry_starry_night.py](assignments/hw03/starry_starry_night.py)
* [pyramid.py](assignments/hw03/pyramid.py)",* higher level turtle?,,* higher level turtle is in slides only,
,lecture,8,20-Feb ,Thu,"Functions, Creating and Installing Modules

* [Functions](slides/04/functions-return.html)
* [Functions and Scope](slides/04/scope.html)
* [Testing / Assertions](slides/04/functions-testing.html)
* keyword arguments
* arbitrary number of arguments
* creating modules
* installing modules
* midterm reminder

Sample Questions Midterm #1

* [Sample Questions for Midterm #1](resources/handouts/midterm_1/midterm_1_practice.pdf)
* [Sample Questions for Midterm #1 Solutions](resources/handouts/midterm_1/midterm_1_practice_solutions.pdf)
* [Additional Sample Questions for Midterm #1](resources/handouts/midterm_1/midterm_1_additional_practice.pdf)
* [Additional Sample Questions for Midterm #1 Solutions](resources/handouts/midterm_1/midterm_1_additional_practice_solutions.pdf)","* [Module #4: Functions, Scope, Modules](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module04.php)
* [Ch 16. Function Basics](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch16.html#function_basics)
* [Ch 17. Scopes](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch17.html#scopes)
  * Python Scope Basics
  * The global Statement
  * Scopes and Nested Functions
* [Ch 22. Module Basics: The Big Picture](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch22.html#modules_colon_the_big_picture)
* [Ch 23. Module Coding Basics](https://learning-oreilly-com.proxy.library.nyu.edu/library/view/learning-python-5th/9781449355722/ch23.html#module_coding_basics)
  * Module Creation
  * Module Usage","__Due Thursday, Feb 27th, at 11am__


* [Module 05 on Strings](https://cs.nyu.edu/~jversoza/csci-ua.0003-fa19/module05.php)
* Quiz 05 in NYU Classes (under Tests and Quizzes)",,,"* keyword args
* arbitrary args 
* making modules – no slides
* installing modules – no slides","* completely optional more challenging homework to keep more advanced students engaged?
* more assignments using package installation (maybe later???)"
,workshop,9,25-Feb ,Tue,"Functions, Creating and Installing Modules",Workshop,"Homework 4 __Due Mon, 3/9, at 11pm__


1. [clicky_quad.py](assignments/hw04/clicky_quad.py)
2. [analyze_numbers.py](assignments/hw04/analyze_numbers.py)
3. [funcynum.py](assignments/hw04/funcynum.py)
	* [instructions only](assignments/hw04/funcynum.html)
4. [feeling_quizzy.py](assignments/hw04/feeling_quizzy.py)
	* [instructions only](assignments/hw04/feeling_quizzy.html)
",,,,"* what to do abt academic integrity
* hiring – shared?
* classroom assistant for quizzes (since 3 sections)
* note that turtle in every assignment"
y,lecture,10,27-Feb ,Thu,Review,,,,,,
